DateTime,WTemp_C,Flag_WTemp_C,SpC_uScm,Flag_SpC_uScm,DO_mgL,Flag_DO_mgL,pH,Flag_pH,Turb_FNU,Flag_Turb_FNU
2023-09-18 05:00,19.75,P,113.0,P,8.0,P,7.7,P,,
2023-09-18 06:00,19.6,P,113.0,P,7.9,P,7.7,P,,
2023-09-18 07:00,19.45,P,113.0,P,7.85,P,7.6,P,,
2023-09-18 08:00,19.25,P,113.0,P,7.8,P,7.6,P,,
2023-09-18 09:00,19.05,P,113.0,P,7.8,P,7.6,P,,
2023-09-18 10:00,18.95,P,113.0,P,7.8,P,7.6,P,,
2023-09-18 11:00,18.75,P,113.0,P,7.8,P,7.6,P,,
2023-09-18 12:00,18.6,P,113.0,P,7.9,P,7.6,P,,
2023-09-18 13:00,18.5,P,114.0,P,8.0,P,7.6,P,,
2023-09-18 14:00,18.6,A,114.0,A,8.1,A,7.6,A,,
2023-09-18 15:00,18.9,A,113.0,A,8.4,A,7.6,A,,
2023-09-18 16:00,19.15,A,113.0,A,8.6,A,7.65,A,,
2023-09-18 17:00,19.5,A,112.5,A,8.850000000000003,A,7.7,A,,
2023-09-18 18:00,19.8,A,112.0,A,9.05,A,7.8,A,0.1,A
2023-09-18 19:00,20.1,A,112.0,A,9.15,A,7.85,A,0.0,A
2023-09-18 20:00,20.35,A,112.5,A,9.3,A,7.9,A,0.0,A
2023-09-18 21:00,20.5,A,113.0,A,9.3,A,8.0,A,0.0,A
2023-09-18 22:00,20.6,A,113.0,A,9.3,A,8.0,A,0.0,A
2023-09-18 23:00,20.45,A,113.0,A,9.15,A,8.0,A,0.0,A
2023-09-19 00:00,20.35,A,113.0,A,8.95,A,7.9,A,0.0,A
2023-09-19 01:00,20.15,A,113.0,A,8.75,A,7.9,A,0.0,A
2023-09-19 02:00,19.95,A,114.0,A,8.55,A,7.8,A,0.05,A
2023-09-19 03:00,19.75,A,114.0,A,8.4,A,7.8,A,0.05,A
2023-09-19 04:00,19.55,A,114.0,A,8.3,A,7.7,A,0.05,A
2023-09-19 05:00,19.4,A,114.0,A,8.2,A,7.7,A,0.05,A
2023-09-19 06:00,19.25,A,114.5,A,8.149999999999999,A,7.7,A,0.1,A
2023-09-19 07:00,19.05,A,115.0,A,8.1,A,7.6,A,0.1,A
2023-09-19 08:00,18.95,A,115.0,A,8.0,A,7.6,A,0.1,A
2023-09-19 09:00,18.75,A,116.0,A,8.0,A,7.6,A,0.1,A
2023-09-19 10:00,18.55,A,116.0,A,8.0,A,7.6,A,0.1,A
2023-09-19 11:00,18.35,A,117.0,A,8.0,A,7.6,A,0.1,A
